HAL Dhruv,200,0,0.0,"approx. {{INRConvert|400|m}}<ref name= ""Huma""/>"
Nakajima Ki-44,1227,300000,0.36,""
Aerfer Ariete,2,300000,0.0,300000
RagWing RW11 Rag-A-Bond,4,50,0.0,[[United States dollar|US$]]50 (plans 2010)<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Sud-Est Grognard,2,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
RTAF-6,1,4000000,0.0,$4 million
Loughead F-1,1,300000,0.0,""
Caudron C.240,1,300000,0.0,300000
Daimler L15,1,300000,0.0,""
Donnet-Denhaut flying boat,1085,300000,0.32,300000
Stinson L-13,302,300000,0.09,""
DAR 4,1,300000,0.0,300000
Aerosport Quail,10,300000,0.0,300000
Schleicher ASW 20,905,300000,0.27,300000
Nakajima C3N,2,300000,0.0,300000
Defiant 300,1,40000000,0.04,PHP40 million (1987)<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
AEG Wagner Eule,2,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Fairchild VZ-5,1,300000,0.0,300000
Ikarus C42,1,42000,0.0,"approx [[Euro|€]]42,000&ndash;62,000"
Kawasaki Ki-3,243,300000,0.07,300000
Cessna 188,3967,15995,0.06,"base price US$15,995 in 1966"
PZL-102 Kos,10,300000,0.0,300000
Boeing-Sikorsky RAH-66 Comanche,2,300000,0.0,""
Göppingen Gö 4,125,300000,0.03,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Antonov An-26,1403,300000,0.42,""
Sikorsky S-41,7,300000,0.0,300000
Fairchild XC-120 Packplane,1,300000,0.0,""
St Louis CG-5,1,300000,0.0,300000
Hatfield Little Bird#1,3,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Letov Š-3,2,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Macchi M.C.94,12,300000,0.0,300000
Nakajima Ki-49,819,300000,0.24,""
CVV-6 Canguro,36,300000,0.01,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
RFB X-113,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Schweizer SGS 1-26,700,300000,0.21,300000
Junkers A 32,2,300000,0.0,300000
Rhein Flugzeugbau RW 3 Multoplan,27,357,0.0,"[[US$]]7096.52, $357 for wing extensions, in 1959 dollars.<ref>{{cite journal|magazine=Sport Aviation|date=March 1959}}</ref>  <!--Incremental or flyaway cost for military or retail price for commercial aircraft-->"
Fairchild Hiller FH-1100,253,300000,0.07,300000
XtremeAir Sbach 342,44,300000,0.01,300000
Bernard H.V.41,1,300000,0.0,300000
Murphy Moose,120,100000,0.01,"[[US$]]100,000-130,000 (estimated completion cost, 2011)"
Boeing XPB,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Stoddard-Hamilton Glasair III,402,300000,0.12,300000
CSS-12,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Aviastroitel AC-4 Russia,60,21000,0.0,"[[US$]]21,000 (2003)"
Mitsubishi Ki-30,704,300000,0.21,""
